Category,X,Y,int_time
WEAPON LAWS,-122.410612162957,37.766903155459794,7
VANDALISM,-122.448307079193,37.73565063989479,19
BURGLARY,-122.501530412834,37.7512077901235,2
NON-CRIMINAL,-122.39384397290002,37.7953080071145,8
ROBBERY,-122.410891754793,37.7809097652868,11
OTHER OFFENSES,-122.414056291891,37.7827931071006,9
"SEX OFFENSES, FORCIBLE",-122.432649600399,37.727373760734,8
FRAUD,-122.40209667877,37.722648559262,20
VANDALISM,-122.42052630907801,37.744725471365705,18
NON-CRIMINAL,-122.40933682184601,37.7848337315521,0
NON-CRIMINAL,-122.402246029097,37.7810888153345,14
SUSPICIOUS OCC,-122.423637302048,37.7648666651043,1
SUSPICIOUS OCC,-122.41351903735901,37.7525390567169,21
SUSPICIOUS OCC,-122.403070000847,37.7852686309087,12
ASSAULT,-122.43674444467301,37.723809628217,2
ASSAULT,-122.412930522059,37.7838344374141,4
VANDALISM,-122.467102254248,37.7827705350074,13
OTHER OFFENSES,-122.40340479147899,37.775420706711,22
DRUG/NARCOTIC,-122.39961755878201,37.78079065500671,10
VEHICLE THEFT,-122.435948790634,37.7239005113194,17
WEAPON LAWS,-122.396556426173,37.7941169057941,8
NON-CRIMINAL,-122.44127991779399,37.7879051031628,14
MISSING PERSON,-122.419311631841,37.7569556106016,12
OTHER OFFENSES,-122.42963656306699,37.7265159048414,9
OTHER OFFENSES,-122.40642938209801,37.807136806848796,20
ASSAULT,-122.449918138147,37.7166111509064,22
OTHER OFFENSES,-122.40924767554701,37.7813987340892,22
FRAUD,-122.446432100907,37.750241057883,17
DRUG/NARCOTIC,-122.406539115148,37.7564864109309,8
NON-CRIMINAL,-122.4779149156,37.7822791509729,13
NON-CRIMINAL,-122.419253480818,37.7957222759379,13
OTHER OFFENSES,-122.41241426358101,37.7830037964534,3
ASSAULT,-122.40749684872,37.7795496260755,3
ROBBERY,-122.467489289466,37.7808779197338,18
VANDALISM,-122.40502080789,37.7880208011824,16
MISSING PERSON,-122.421747650463,37.7627436601147,15
DRUG/NARCOTIC,-122.410065781604,37.7749906792593,22
DRUNKENNESS,-122.41975695143,37.745914016128296,10
VEHICLE THEFT,-122.38228058759898,37.733632473335206,22
